"調查開始日期Survey Start Date","調查結束日期Survey End Date","成功樣本Successful cases","次樣本人數Subsample","回應率Response rate","好滿意Very satisfied","幾滿意Quite satisfied","滿意Satisfied","一半半Half-half","幾唔滿意Quite dissatisfied","好唔滿意Very dissatisfied","唔滿意Dissatisfied","唔知/難講DK/HS","總數Total","淨值Netvalue","平均量值Mean value","基數Base","樣本平均標準誤差Standard Error of Mean","備注Remark"
"2011-03-21","2011-03-30","1,006","617","63.1%","5.1%","35.4%","40.5%","28.9%","18.3%","9.9%","28.2%","2.3%","100.0%","12.3%","3.1","602","0.1",""
"2010-12-17","2010-12-22","1,017","1,017","66.4%","4.2%","38.9%","43.2%","26.3%","18.0%","9.0%","27.1%","3.4%","100.0%","16.1%","3.1","982","0.1",""
"2010-09-18","2010-09-24","1,010","1,010","66.2%","6.3%","42.4%","48.7%","25.6%","16.8%","7.4%","24.2%","1.6%","100.0%","24.5%","3.2","992","0.1",""
"2010-06-18","2010-06-22","1,009","1,009","66.7%","6.2%","32.0%","38.2%","17.1%","24.0%","17.1%","41.1%","3.6%","100.0%","-2.8%","2.9","971","0.1",""
"2010-03-23","2010-03-25","1,012","1,012","69.3%","7.2%","34.6%","41.9%","22.2%","21.9%","11.7%","33.6%","2.4%","100.0%","8.3%","3.0","987","0.1",""
"2009-12-14","2009-12-17","1,000","1,000","70.5%","6.3%","38.5%","44.8%","24.4%","18.4%","9.4%","27.8%","3.0%","100.0%","17.0%","3.1","970","0.1",""
"2009-09-14","2009-09-17","1,004","1,004","65.4%","5.2%","37.4%","42.6%","25.8%","17.4%","12.0%","29.4%","2.2%","100.0%","13.2%","3.1","981","0.1",""
"2009-06-16","2009-06-21","1,012","1,012","69.0%","5.9%","34.4%","40.3%","29.6%","17.7%","10.2%","27.8%","2.2%","100.0%","12.5%","3.1","990","0.1",""
"2009-03-09","2009-03-11","1,019","1,019","65.2%","6.1%","38.7%","44.8%","29.6%","16.2%","6.9%","23.1%","2.5%","100.0%","21.7%","3.2","992","0.1",""
"2008-12-16","2008-12-18","1,005","1,005","71.7%","5.5%","40.8%","46.4%","26.9%","16.1%","5.0%","21.1%","5.7%","100.0%","25.3%","3.3","946","0.1",""
"2008-09-17","2008-09-19","1,003","1,003","63.6%","6.6%","38.4%","44.9%","29.1%","15.8%","6.4%","22.2%","3.8%","100.0%","22.8%","3.2","964","0.1",""
"2008-06-18","2008-06-20","1,003","1,003","70.3%","5.5%","37.5%","43.0%","30.1%","15.8%","7.0%","22.9%","4.1%","100.0%","20.2%","3.2","962","0.1",""
"2008-03-18","2008-03-20","1,026","1,026","65.7%","7.4%","41.7%","49.2%","29.0%","13.8%","4.1%","17.9%","3.9%","100.0%","31.3%","3.4","985","0.1",""
"2007-12-19","2007-12-24","1,019","1,019","66.2%","6.1%","42.3%","48.4%","27.8%","13.2%","5.9%","19.1%","4.8%","100.0%","29.2%","3.3","970","0.1",""
"2007-09-17","2007-09-21","1,008","1,008","65.5%","6.9%","47.5%","54.4%","24.6%","13.0%","4.2%","17.2%","3.8%","100.0%","37.2%","3.4","969","0.1",""
"2007-06-15","2007-06-21","1,006","1,006","65.2%","7.7%","41.8%","49.5%","28.1%","13.5%","5.6%","19.2%","3.2%","100.0%","30.3%","3.3","972","0.1",""
"2007-03-19","2007-03-21","1,007","1,007","63.6%","7.8%","42.4%","50.3%","30.0%","13.0%","3.6%","16.5%","3.2%","100.0%","33.7%","3.4","973","0.1",""
"2006-12-18","2006-12-20","1,016","1,016","64.1%","3.8%","38.4%","42.1%","34.0%","16.1%","5.3%","21.3%","2.6%","100.0%","20.8%","3.2","989","0.1",""
"2006-09-14","2006-09-20","1,013","1,013","58.4%","7.2%","41.4%","48.6%","31.5%","12.9%","3.8%","16.7%","3.1%","100.0%","31.9%","3.4","980","0.1",""
"2006-06-19","2006-06-21","1,012","1,012","58.2%","8.8%","42.2%","51.0%","29.0%","12.4%","4.1%","16.5%","3.5%","100.0%","34.4%","3.4","975","0.1",""
"2006-03-13","2006-03-17","1,010","1,010","59.4%","7.5%","43.1%","50.6%","27.2%","13.0%","4.0%","17.0%","5.2%","100.0%","33.5%","3.4","956","0.1",""
"2005-11-18","2005-11-23","1,019","1,019","62.9%","4.9%","38.0%","42.9%","31.4%","15.8%","4.7%","20.6%","5.1%","100.0%","22.3%","3.2","965","0.1",""
"2005-10-25","2005-10-29","1,017","1,017","63.5%","7.5%","42.9%","50.4%","29.8%","10.9%","4.0%","14.9%","4.8%","100.0%","35.5%","3.4","963","0.1",""
"2005-07-25","2005-07-29","1,014","1,014","64.0%","5.5%","35.9%","41.4%","31.8%","14.3%","5.5%","19.8%","7.0%","100.0%","21.6%","3.2","942","0.1",""
"2005-04-18","2005-04-21","1,012","1,012","66.7%","5.5%","36.7%","42.2%","28.3%","19.0%","5.5%","24.5%","4.9%","100.0%","17.7%","3.2","962","0.1",""
"2005-01-24","2005-01-25","1,003","1,003","65.0%","6.1%","28.1%","34.2%","25.9%","20.8%","13.5%","34.3%","5.6%","100.0%","-0.1%","2.9","943","0.1",""
"2004-10-18","2004-10-21","1,011","1,011","63.3%","5.8%","28.6%","34.4%","29.0%","22.8%","9.0%","31.8%","4.7%","100.0%","2.6%","3.0","958","0.1",""
"2004-07-26","2004-07-29","1,005","1,005","60.6%","3.9%","22.0%","25.9%","26.6%","28.1%","15.4%","43.5%","3.9%","100.0%","-17.6%","2.7","964","0.1",""
"2004-04-19","2004-04-22","1,029","1,029","61.1%","3.4%","22.3%","25.7%","21.4%","25.9%","21.6%","47.5%","5.3%","100.0%","-21.8%","2.6","971","0.1",""
"2004-01-26","2004-01-29","1,056","1,056","65.4%","3.5%","23.4%","26.9%","29.5%","26.6%","11.8%","38.4%","5.2%","100.0%","-11.5%","2.8","991","0.1",""
"2003-10-19","2003-10-22","1,017","1,017","60.0%","3.6%","26.1%","29.7%","29.4%","23.8%","12.0%","35.8%","5.1%","100.0%","-6.1%","2.8","962","0.1",""
"2003-07-14","2003-07-16","1,073","1,073","69.2%","2.1%","20.5%","22.6%","16.6%","31.1%","24.7%","55.8%","5.0%","100.0%","-33.2%","2.4","1,016","0.1",""
"2003-05-15","2003-05-20","1,067","1,067","65.1%","3.3%","33.0%","36.3%","21.1%","23.1%","14.2%","37.3%","5.4%","100.0%","-1.0%","2.9","1,007","0.1",""
"2003-03-17","2003-03-19","1,068","1,068","71.5%","1.5%","29.1%","30.6%","25.4%","23.6%","12.6%","36.2%","7.7%","100.0%","-5.6%","2.8","984","0.1",""
"2003-01-20","2003-01-23","1,049","1,049","66.2%","2.0%","23.8%","25.8%","20.5%","30.3%","16.2%","46.5%","7.4%","100.0%","-20.7%","2.6","971","0.1",""
"2002-11-13","2002-11-20","1,058","1,058","65.2%","2.7%","26.8%","29.5%","24.0%","25.3%","13.7%","39.0%","7.5%","100.0%","-9.5%","2.8","976","0.1",""
"2002-09-12","2002-09-17","1,062","1,062","69.0%","0.7%","29.0%","29.7%","29.3%","26.9%","6.9%","33.8%","7.2%","100.0%","-4.1%","2.9","984","0.1",""
"2002-07-02","2002-07-03","1,068","1,068","67.7%","0.8%","33.4%","34.2%","25.9%","24.7%","6.5%","31.2%","8.7%","100.0%","3.0%","3.0","974","0.1",""
"2002-05-02","2002-05-07","1,069","1,069","65.4%","0.9%","33.6%","34.5%","26.8%","24.8%","5.1%","29.9%","8.8%","100.0%","4.6%","3.0","975","0.1",""
"2002-03-01","2002-03-05","1,017","1,017","61.3%","1.6%","37.4%","39.0%","25.3%","22.2%","6.0%","28.2%","7.6%","100.0%","10.8%","3.1","939","0.1",""
"2002-01-02","2002-01-06","1,046","1,046","65.6%","2.1%","34.8%","36.9%","28.7%","22.1%","5.6%","27.7%","6.7%","100.0%","9.2%","3.1","976","0.1",""
"2001-11-01","2001-11-05","1,096","1,096","63.9%","1.8%","32.4%","34.2%","30.4%","22.0%","6.4%","28.4%","7.0%","100.0%","5.8%","3.0","1,017","0.1",""
"2001-09-03","2001-09-07","1,056","1,056","60.6%","0.4%","27.2%","27.6%","34.3%","21.9%","7.2%","29.1%","9.0%","100.0%","-1.5%","2.9","958","0.1",""
"2001-07-03","2001-07-09","1,051","1,051","78.6%","0.7%","25.1%","25.8%","27.7%","30.4%","8.4%","38.8%","7.7%","100.0%","-13.0%","2.8","967","0.1",""
"2001-05-19","2001-05-23","1,082","1,082","65.6%","0.7%","27.4%","28.1%","33.8%","23.8%","6.8%","30.6%","7.6%","100.0%","-2.5%","2.9","997","0.1",""
"2001-03-05","2001-03-19","1,024","1,024","57.0%","1.2%","29.2%","30.4%","30.0%","22.3%","7.2%","29.5%","10.2%","100.0%","0.9%","2.9","915","0.1",""
"2001-01-17","2001-01-19","1,046","1,046","53.7%","1.3%","26.0%","27.3%","26.2%","28.7%","10.4%","39.1%","7.5%","100.0%","-11.8%","2.8","958","0.1",""
"2000-11-14","2000-11-16","1,038","1,038","47.2%","2.6%","21.7%","24.3%","26.7%","27.7%","11.5%","39.2%","9.9%","100.0%","-14.9%","2.7","933","0.1",""
"2000-09-14","2000-09-18","1,062","1,062","60.7%","1.1%","28.2%","29.3%","25.6%","27.1%","9.4%","36.5%","8.5%","100.0%","-7.2%","2.8","969","0.1",""
"2000-07-06","2000-07-11","1,058","1,058","53.3%","1.4%","25.8%","27.2%","26.7%","25.7%","10.7%","36.4%","9.7%","100.0%","-9.2%","2.8","950","0.1",""
"2000-06-02","2000-06-05","1,055","1,055","44.8%","1.8%","26.4%","28.2%","32.6%","23.6%","9.0%","32.6%","6.6%","100.0%","-4.4%","2.9","984","0.1",""
"2000-05-18","2000-05-22","1,040","1,040","51.2%","1.1%","26.0%","27.1%","30.6%","24.0%","8.9%","32.9%","9.5%","100.0%","-5.8%","2.9","940","0.1",""
"2000-04-03","2000-04-03","540","540","61.9%","0.6%","34.3%","34.9%","31.9%","23.4%","5.0%","28.4%","4.7%","100.0%","6.5%","3.0","511","0.1",""
"2000-03-02","2000-03-03","520","520","62.1%","0.4%","36.7%","37.1%","25.4%","22.7%","4.8%","27.5%","10.0%","100.0%","9.6%","3.1","467","0.1",""
"2000-02-01","2000-02-02","566","566","49.6%","0.9%","24.3%","25.2%","28.7%","28.5%","10.3%","38.8%","7.3%","100.0%","-13.6%","2.8","523","0.1",""
"2000-01-11","2000-01-12","519","519","53.6%","1.6%","24.9%","26.5%","31.6%","25.0%","9.4%","34.4%","7.6%","100.0%","-7.9%","2.8","478","0.1",""
"1999-12-06","1999-12-06","512","512","47.5%","3.6%","32.4%","36.0%","26.7%","21.6%","9.9%","31.5%","5.7%","100.0%","4.5%","3.0","482","0.1",""
"1999-11-03","1999-11-11","538","538","50.4%","1.5%","28.7%","30.2%","28.0%","25.6%","7.1%","32.7%","9.1%","100.0%","-2.5%","2.9","489","0.1",""
"1999-10-11","1999-10-16","520","520","47.5%","1.8%","26.2%","28.0%","24.4%","26.2%","14.5%","40.7%","7.0%","100.0%","-12.7%","2.7","480","0.1",""
"1999-09-10","1999-09-13","576","576","45.2%","1.3%","31.1%","32.4%","27.2%","25.4%","6.7%","32.1%","8.3%","100.0%","0.3%","2.9","527","0.1",""
"1999-08-02","1999-08-02","523","523","47.1%","1.3%","31.7%","33.0%","27.4%","23.7%","10.3%","34.0%","5.6%","100.0%","-1.0%","2.9","494","0.1",""
"1999-07-09","1999-07-09","536","536","51.3%","2.0%","25.1%","27.1%","27.0%","26.5%","9.7%","36.2%","9.6%","100.0%","-9.1%","2.8","483","0.1",""
"1999-06-01","1999-06-01","535","535","49.3%","0.7%","29.3%","30.0%","33.7%","24.7%","6.0%","30.7%","5.6%","100.0%","-0.7%","2.9","505","0.1",""
"1999-05-11","1999-05-11","506","506","46.7%","0.0%","26.3%","26.3%","37.9%","23.5%","4.2%","27.7%","8.1%","100.0%","-1.4%","2.9","464","0.1",""
"1999-04-07","1999-04-08","532","532","52.3%","0.4%","32.0%","32.4%","31.5%","25.3%","4.5%","29.8%","6.4%","100.0%","2.6%","3.0","498","0.1",""
"1999-03-09","1999-03-09","522","522","50.8%","0.8%","30.0%","30.8%","33.3%","23.5%","3.8%","27.3%","8.6%","100.0%","3.5%","3.0","475","0.1",""
"1999-02-01","1999-02-01","529","529","53.0%","1.3%","36.8%","38.1%","27.6%","21.7%","5.3%","27.0%","7.2%","100.0%","11.1%","3.1","487","0.1",""
"1999-01-14","1999-01-15","523","523","47.1%","1.3%","32.3%","33.6%","30.2%","22.2%","6.5%","28.7%","7.5%","100.0%","4.9%","3.0","484","0.1",""
"1998-12-01","1998-12-02","519","519","44.1%","1.2%","36.9%","38.1%","29.0%","22.4%","5.4%","27.8%","5.2%","100.0%","10.3%","3.1","491","0.1",""
"1998-11-10","1998-11-10","524","524","44.0%","0.6%","27.6%","28.2%","37.8%","19.0%","6.8%","25.8%","8.1%","100.0%","2.4%","3.0","477","0.1",""
"1998-10-08","1998-10-09","521","521","40.3%","0.8%","38.3%","39.1%","33.4%","19.8%","4.5%","24.3%","3.3%","100.0%","14.8%","3.1","501","0.1",""
"1998-09-08","1998-09-09","528","528","45.5%","1.0%","35.9%","36.9%","31.7%","18.5%","4.4%","22.9%","8.6%","100.0%","14.0%","3.1","481","0.1",""
"1998-08-04","1998-08-04","514","514","38.8%","1.2%","36.0%","37.2%","31.6%","21.6%","4.5%","26.1%","5.1%","100.0%","11.1%","3.1","488","0.1",""
"1998-07-14","1998-07-14","542","542","44.5%","1.4%","35.3%","36.7%","30.4%","19.8%","4.1%","23.9%","9.0%","100.0%","12.8%","3.1","493","0.1",""
"1998-06-23","1998-06-23","518","518","47.4%","1.1%","36.6%","37.7%","30.3%","21.5%","2.3%","23.8%","8.2%","100.0%","13.9%","3.1","475","0.1",""
"1998-02-02","1998-02-03","512","512","50.4%","0.8%","28.6%","29.4%","32.7%","22.2%","5.3%","27.5%","10.4%","100.0%","1.9%","3.0","457","0.1",""
"1998-01-12","1998-01-13","523","523","49.9%","1.0%","23.9%","24.9%","34.2%","29.4%","5.0%","34.4%","6.5%","100.0%","-9.5%","2.9","486","0.1",""
"1997-12-02","1997-12-03","519","519","44.7%","0.4%","31.6%","32.0%","29.7%","25.0%","5.0%","30.0%","8.3%","100.0%","2.0%","3.0","476","0.1",""
"1997-11-11","1997-11-11","518","518","47.6%","1.8%","25.8%","27.6%","37.7%","22.8%","4.3%","27.1%","7.8%","100.0%","0.5%","3.0","478","0.1",""
"1997-10-28","1997-10-29","536","536","44.5%","0.6%","26.7%","27.3%","33.3%","26.9%","4.5%","31.4%","8.0%","100.0%","-4.1%","2.9","492","0.1",""
"1997-09-23","1997-09-24","512","512","41.6%","1.2%","28.2%","29.4%","28.1%","26.1%","2.8%","28.9%","13.7%","100.0%","0.5%","3.0","440","0.1",""
"1997-08-26","1997-08-27","532","532","42.4%","1.1%","28.0%","29.1%","26.0%","23.3%","3.0%","26.3%","18.6%","100.0%","2.8%","3.0","430","0.1",""
"1997-07-29","1997-07-30","564","564","39.7%","0.4%","25.5%","25.9%","23.6%","22.5%","4.1%","26.6%","23.9%","100.0%","-0.7%","2.9","428","0.1",""
