"調查開始日期Survey Start Date","調查結束日期Survey End Date","樣本人數Total Sample","次樣本人數Sub Sample","回應率Response Rate","治安Public Order","標準誤差Standard Error","評分人數Number of Raters","認知率Recognition Rate","備註Remark"
"2004-01-09","2004-01-12","1,026","1,026","64.6%","7.03","0.05","1,016","99.0%",""
"2003-10-19","2003-10-22","1,017","1,017","60.0%","6.75","0.05","986","97.0%",""
"2003-07-14","2003-07-16","1,073","1,073","69.2%","6.84","0.05","1,055","98.3%",""
"2003-04-16","2003-04-23","1,021","1,021","68.9%","6.97","0.05","985","96.5%",""
"2003-01-20","2003-01-23","1,049","1,049","66.2%","7.01","0.05","1,012","96.5%",""
"2002-10-13","2002-10-16","1,028","1,028","63.0%","6.82","0.05","976","94.9%",""
"2002-07-02","2002-07-03","1,068","1,068","67.7%","6.83","0.05","970","90.8%",""
"2002-04-02","2002-04-08","1,017","1,017","63.5%","6.94","0.05","922","90.7%",""
"2002-01-02","2002-01-06","1,046","1,046","65.6%","6.60","0.05","987","94.4%",""
"2001-10-05","2001-10-08","1,051","1,051","63.5%","6.62","0.05","992","94.4%",""
"2001-07-03","2001-07-09","1,051","1,051","78.6%","6.65","0.05","992","94.4%",""
"2001-04-18","2001-04-30","1,082","1,082","73.1%","6.60","0.05","1,025","94.7%",""
"2001-01-17","2001-01-19","1,046","1,046","53.7%","6.62","0.05","989","94.6%",""
"2000-10-03","2000-10-09","1,067","1,067","59.8%","6.54","0.05","988","92.6%",""
"2000-07-06","2000-07-10","1,058","1,058","53.3%","6.48","0.05","1,004","94.9%",""
"2000-05-05","2000-05-18","1,060","1,060","50.0%","6.57","0.05","1,045","98.6%",""
"2000-03-01","2000-03-01","517","517","57.6%","6.64","0.07","504","97.5%",""
"2000-01-11","2000-01-12","519","519","53.6%","6.78","0.07","506","97.5%",""
"2000-01-04","2000-01-04","535","535","54.2%","6.86","0.07","527","98.5%",""
"1999-11-01","1999-11-02","543","543","51.7%","6.41","0.07","530","97.6%",""
"1999-09-10","1999-09-13","576","576","45.2%","6.43","0.07","563","97.7%",""
"1999-07-05","1999-07-05","527","527","48.2%","6.47","0.07","523","99.2%",""
"1999-05-04","1999-05-04","536","536","49.5%","6.63","0.07","531","99.1%",""
"1999-03-02","1999-03-02","510","510","52.5%","6.84","0.06","506","99.2%",""
"1999-01-05","1999-01-05","544","544","46.0%","6.81","0.06","537","98.7%",""
"1998-11-04","1998-11-05","511","511","48.1%","6.68","0.07","508","99.4%",""
"1998-09-01","1998-09-01","507","507","45.5%","6.42","0.07","497","98.0%",""
"1998-07-07","1998-07-07","532","532","48.1%","6.81","0.06","520","97.7%",""
"1998-03-02","1998-03-02","527","527","46.1%","6.65","0.06","512","97.2%",""
"1998-01-06","1998-01-06","520","520","47.9%","6.65","0.06","506","97.3%",""
"1997-11-04","1997-11-05","523","523","47.3%","6.39","0.07","507","96.9%",""
"1997-07-29","1997-07-30","564","564","39.7%","6.69","0.06","548","97.2%",""
