time,text,support,against,post_id,year,month
2021年7月19日 03:05:30,"['想問佢失足嗰時起左腳定右腳', '4']",1,2,2623179,2021,7
2021年7月19日 02:51:57,"['哭能左', '要唔要紙巾', '3']",0,1,2623179,2021,7
2021年7月19日 02:48:50,['我都好傷心啊'],3,0,2623179,2021,7
2021年7月19日 03:18:46,"['', '', '2']",0,1,2623179,2021,7
2021年7月19日 02:52:40,"['有隻死狗跌落樓，跌落樓，跌落樓，', '有隻死狗跌落樓，跌落樓，比天收了']",2,0,2623179,2021,7
2021年7月19日 06:56:17,"['', '', '太早跳，都未充氣', '1']",0,1,2623179,2021,7
2021年7月19日 06:12:52,"['哭能左', '要唔要紙巾', '想要花']",1,0,2623179,2021,7
2021年7月19日 03:04:10,['年年有今日'],1,0,2623179,2021,7
2021年7月20日 00:48:54,"['', '', '太早跳，都未充氣']",0,0,2623179,2021,7
2021年7月19日 11:43:20,['好撚正'],0,0,2623179,2021,7
2021年7月19日 08:51:46,['高汁'],0,0,2623179,2021,7
2021年7月19日 06:53:47,[],0,0,2623179,2021,7
2021年7月19日 04:42:46,"['哭能左', '要唔要紙巾', '想要花', '0']",0,1,2623179,2021,7
2021年7月19日 03:50:47,[],0,0,2623179,2021,7
2021年8月3日 20:28:31,"['每餐倒一半碳水化合物落枱面先', '438']",12,7,2647483,2021,8
2021年8月3日 20:28:59,"['懶既食少d舒服過做運動', '205']",10,1,2647483,2021,8
2021年8月3日 20:29:01,"['唔食飯 只食餸', '114']",8,4,2647483,2021,8
2021年8月3日 20:39:01,"['舉例茶餐廳咁計,唔飲甜野，唔好食炒粉面飯，唔好食焗飯。', '食啲咩咩肉片飯咩咩牛肉飯嗰啲或者雞柳雞絲，記得唔好要粟米汁因為通常溝咗忌廉。又或者牛扒豬扒嗰啲都可以（如果有啲位太肥就整走佢）。', '如果其他食肆可以食下牛展，面檔就可以叫佢牛腩比d瘦既你。', '當然都要加埋做運動', '92']",2,2,2647483,2021,8
2021年8月3日 20:29:02,"['日日落街唔食飯', '88']",1,1,2647483,2021,8
2021年8月3日 21:26:18,"['每餐倒一半碳水化合物落枱面先', '出街食係油啲㗎啦但會唔會多到油浸咁呀', '樓主都話日日出街食', '一嘢跳到同gym撚比較', '我係樓主都唔撚減啦', '落幾多油佢控制唔到咁就由量開始入手', '最簡單一定係減碳水減糖', '之後就避開炒飯麵河，汁類避到就避', '78']",0,3,2647483,2021,8
2021年8月3日 20:33:24,"['食大快活紅米雞胸 走汁', '62']",2,2,2647483,2021,8
2021年8月3日 20:36:43,"['減肥從來係七分飲食三分運動', '飲食唔控制做幾多運動都冇用', '唔通你日日跑10K咩', '55']",2,3,2647483,2021,8
2021年8月3日 20:35:58,"['其實控制好飯食比較重要 你戒咗飲凍飲同糖 已經可以有改善', '47']",2,4,2647483,2021,8
2021年8月3日 21:02:53,"['唔好人講乜都信', '唔關食邊料食物既問題', '最後既總數先係變肥定瘦', '就算日日食老麥都可以瘦', '', '最簡單黎黎', '減肥只係一條數咋', '你玩緊一隻 「唔可以爆quota既game」', '', '1g碳水 4kcal', '1g蛋白 4kcal', '1g脂肪 9kcal', '1g酒精 7kcal', '', '假設你tdee係2000kcal', '冇論你係1日剩係食晒飯', '碳水4kcal x 500g =2000kcal', '', '定係食乜9都好', '碳水200g +蛋白200g +脂肪44g', '= 4x200 + 4x200 +9x44', '=1996kcal', '', '唔係啲on9講咩食碳水會肥', '要戒澱粉 講呢啲都係on9', '就算你食0碳水', '1g蛋白 4kcal', '1g脂肪 9kcal', '1g酒精 7kcal', '', '呢幾個你食埋 條數多過tdee一樣會肥', '不過下面會補充返少少啲人話戒碳水會瘦既原因', '', '就算我靠老麥 唔超過2000kcal都唔會肥', '', '食多過tdee就肥', '食少過就瘦', '', '不過，講到尾我會建議樓主都係去做gym最好', '頭先講左想減肥 想緊要食少過tdee', '', '但係與其一味死忍食勁少，又食清啲', '之後唔開心又忍唔住食勁多反彈', '', '直接加quota比自己咪仲好?', '令到自己個tdee高啲，咁咪可以食多啲都唔會見囉', '', '最後，啲人話戒碳水會瘦既原因，個人認為係咁', '因為係香港 你除左去鋸扒 9成都係食緊碳水', '你出街食野 都係飯同麵 加丁咁多肉比你', '啲飲品又多糖', '', '啫係正常香港人既tdee 本來已經有大部分係黎自碳水', '所以佢地減碳水既時候先會好似好有用咁', '一知半解就以為 碳水=肥', '', '比樓主既建議', '1.做gym加tdee', '或者係其他你中意既運動都得', '不過對於肌肉量黎講都係gym最有效', '', '2.開始學下基本營養學既野', '3.開始諗下自己平時食既係邊類型既食物', '4.戒酒精 如有 1g 7kcal', '', '睇下啲有用既YouTuber', '本地推 kofgym', '咖啡奶茶 同咩咩W__g果啲唔好睇', '', '同最高汁既 athleanx', '', '幫到你咁多 減唔減到肥 睇你自己做幾多野啦', '', '', '', 'by #209952會員', '44']",5,3,2647483,2021,8
2021年8月3日 20:36:47,"['做多啲運動 仲有咩方法？', '食咩會好啲？', '減肥', '8成靠食物', '2成靠運動', '', '食得岩，根本唔使運動都減到', '35']",4,4,2647483,2021,8
2021年8月3日 20:58:20,"['懶既食少d舒服過做運動', '但係有時真係肚餓', '寧願食多啲肉少啲carbs', '30']",2,1,2647483,2021,8
2021年8月3日 20:46:42,"['帶個飯盒，食一半，拎一半走下餐再食', '利申，我就係成功例子', '由 63 kg 減到 53 kg', '30']",2,4,2647483,2021,8
2021年8月3日 20:48:22,"['顯示更多', '無糖汽水係咪都唔得', '無糖緊係可以飲', '唔飲好唔慣', '其實減肥好簡單 只不過係你每日嘅calorie intake少過你身體所用嘅就已經減到肥 當然如果想身形好睇啲唔係減完瘦到排骨咁就要食返多啲protein同做吓weight training啦 出街食飯唔係一個大問題 問題係要識揀食啲咩', '23']",1,1,2647483,2021,8
2021年8月3日 20:31:36,"['每日都鋸扒', '19']",0,1,2647483,2021,8
2021年8月3日 21:33:06,"['每餐倒一半碳水化合物落枱面先', '出街食係油啲㗎啦但會唔會多到油浸咁呀', '樓主都話日日出街食', '一嘢跳到同gym撚比較', '我係樓主都唔撚減啦', '落幾多油佢控制唔到咁就由量開始入手', '最簡單一定係減碳水減糖', '之後就避開炒飯麵河，汁類避到就避', '係lo,又唔係參加比賽，使鬼咁嚴格咩。', '出街食都絕對可以減到囉。一般大隻佬都唔會咁，真係比賽嗰啲要減到好低體脂先會。']",19,1,2647483,2021,8
2021年8月3日 21:05:35,"['食麵或者食貴啲揀有紅米飯果啲', '食麵真係好啲？', '如果單純計粉麵本身 唔落任何調味醬汁 熱量應該唔會差太遠？', '但食物本身有樣野叫升糖指數(GI) 有可能影響你吸收速度 同埋飽足感', '高GI有可能會令你經常覺得肚餓 反而食多左野', '', '白飯GI好高 易消化易吸收', '紅米糙米GI會低D 消化過程本身已經要消耗你既熱量 (雖然未必好明顯)', '意粉通粉烏冬都比白飯低D', '某D加工粉麵製作過程加入唔同食油所以麵條本身就高脂 例如河粉 會令熱量特別高', '', '以上係由網上資料總結而成 並非精密科學 只作參巧', '19']",1,2,2647483,2021,8
2021年8月3日 20:41:26,"['板燒雞腿飽餐走包走醬轉粟米熱檸水', '24']",8,2,2647483,2021,8
2021年8月3日 21:33:53,"['每餐倒一半碳水化合物落枱面先', '又吹奏減kcal 唔減碳水消唔到脂']",14,0,2647483,2021,8
2021年8月3日 20:37:41,"['其實控制好飯食比較重要 你戒咗飲凍飲同糖 已經可以有改善', '無糖汽水係咪都唔得', '減得肥仲諗汽水']",21,7,2647483,2021,8
2021年8月4日 01:22:19,"['每餐倒一半碳水化合物落枱面先', '身爲健美撚 我都唔會話減飯呢個方法錯', '因爲對普通人講 減飯係最簡單最無腦']",10,0,2647483,2021,8
2021年8月3日 21:10:31,"['懶既食少d舒服過做運動', '但係有時真係肚餓', '試下下次食飯，唔好咁快食完', '慢慢食，等啲飽感catch up下就唔會食得咁多', '10']",0,2,2647483,2021,8
2019年11月24日 07:06:52,['其實參選人團隊正路會睇，不過多一個人多一對眼，得閒就去睇實'],21,0,1750648,2019,11
2019年11月24日 07:00:16,"['人人都可以做監票師', '17']",0,1,1750648,2019,11
2019年11月24日 07:09:09,"['其實已經好高', '比外國公投既投票率高好多', '而且單議席單票制, 7成既投票率代表好大民意', '呢個數字全世界都唔可能忽視', '16']",1,1,1750648,2019,11
2019年11月24日 07:54:23,"['候選人團隊係可以逗留在該站內', '11']",0,2,1750648,2019,11
2019年11月24日 08:17:30,['戇鳩仔 候選人全程可以望到實 不過你要話玩嘢唔需要依陣玩啦柒頭'],5,0,1750648,2019,11
2019年11月24日 07:02:38,['十點半要人'],4,0,1750648,2019,11
2019年11月24日 08:23:37,"['顯示更多', '候選人團隊係可以逗留在該站內', '票箱都唔可以移出指定範圍', '你噏乜鳩']",2,0,1750648,2019,11
2019年11月24日 07:36:49,"['位街坊溫馨提示', '在10:30pm前已排隊', '票站就一定要安排投票', '所以不要以為夠鐘就走人', '', '記得話比未投票嘅朋友聽呀', '', '#區選 #提提你', '#多你一票真係多好多架', '全港告急', '依家去投都未遲']",2,0,1750648,2019,11
2019年11月24日 07:08:17,['十點半大家都未訓仲唔落街？'],2,0,1750648,2019,11
2019年11月24日 08:45:56,"['將軍澳又有靚女', '1']",0,1,1750648,2019,11
2019年11月24日 08:44:38,"['急，票站要人', '1']",0,1,1750648,2019,11
2019年11月24日 08:36:51,"['', '完左要監佢點票', '無論贏輸 我地條主線任務都要繼續', '仲有好多野等我地去做']",1,0,1750648,2019,11
2019年11月24日 08:29:39,"['TKO 出現排隊人龍', '視察大約有100人 (RTHK直播)', '梁天琦選區']",1,0,1750648,2019,11
2019年11月24日 08:26:04,"['遲到比唔比入架？', '1']",0,1,1750648,2019,11
2019年11月24日 07:58:47,"['人人都可以做監票師', '早啲寫定先，若果大家會前往點票站監察，有幾樣野可以注意，首先在場無論係票站主任定係點票嘅相關公務員，都唔可以離開地下劃出嘅 「限制區」，因為有時好奇怪地票站主任係會將廢票個箱擺離開個「限制區￼￼￼￼￼￼￼」，記住在場人士要警告佢唔可以咁樣做！另外點票完畢之後記住問返個票站主任攞晒返所有數目：「成功點妥選票￼￼￼￼」+「廢票」，係咪=投票人數「即係派出左嘅選票」，數目唔對就要票站主任釐清原因及理據￼￼￼￼！甚至可以重點！當然要四目關七，睇吓票箱、選民名單logbook等等等等有冇古怪野！大家唔係淨係坐喺度睇點票㗎！￼￼￼￼￼', 'Ps不過我爭取左20年希望唔准任何玩過魔術嘅公務員點票以及全部人要唔可以着長袖衫呢樣嘢選舉事務處到今日都唔回應我嘅要求！好可惜！￼￼', '', 'Source: 雲海', '1']",0,1,1750648,2019,11
2019年11月24日 07:40:38,"['想問問「通常需時要45-60分鐘」係指45-60分完成點票定係要等咁耐先入等去監票', '1']",0,2,1750648,2019,11
2019年11月24日 07:35:40,['推呀 每區都要有監票師呀！'],1,0,1750648,2019,11
2019年11月24日 07:34:27,['十點半之前可唔可以推上到熱門'],1,0,1750648,2019,11
2019年11月24日 07:21:25,"['監到一半可唔可以離場架？', 'Yes', '唔好等 監票', '大家 落街幫手拉票']",2,1,1750648,2019,11
2019年11月24日 07:21:07,"['推 準備好落街', '大家 落街幫手拉票']",1,0,1750648,2019,11
2017年6月30日 10:46:50,"['樓主知唔知咁做會破壞到好多美好家庭', '', '我淨係知佢地食得好開心']",354,1,304094,2017,6
2017年6月30日 10:57:19,"['明白樓主好人做好事', '但真擺希望你玩完用水沖走佢', '有好多人放狗或者流浪貓狗', '好奇心下會用""利""lam']",353,17,304094,2017,6
2017年6月30日 11:23:00,"['樓主 一路望甲由 一路食薯片', '', '', '點做到']",260,2,304094,2017,6
2017年6月30日 11:05:04,['睇到標題第一眼以為樓主諗住用自己餵甲由'],202,3,304094,2017,6
2017年6月30日 11:11:03,"['', '可能我唔洗沖喎，點解？食晒咪唔沖囉']",175,1,304094,2017,6
2017年6月30日 11:41:07,"['他朝君體也相同 樓主全家落地獄啦', '咁撚賤既你', '', '', '', '', '', '', '', '', '', '樓主一世平安屋企無曱甴']",169,2,304094,2017,6
2017年6月30日 11:41:22,"['他朝君體也相同 樓主全家落地獄啦', '如果啲甲由上天堂我情願落地獄']",149,1,304094,2017,6
2017年6月30日 11:16:20,"['', '寶儀廚房，食左先講']",132,0,304094,2017,6
2017年6月30日 11:05:05,"['你可能都係出於好意', '但好意如果令人痛失至愛', '又何苦呢', '', '我咪話會沖 我個人在場架']",124,1,304094,2017,6
2017年6月30日 11:14:34,"['', '到底有幾多隻開餐？']",109,0,304094,2017,6
2017年6月30日 11:38:40,['咁大個仔第一次一個鍾三百正皮'],101,1,304094,2017,6
2017年6月30日 11:23:15,"['', '送塊熱浪比你地食', '好似啲死刑犯有雞脾食咁']",95,0,304094,2017,6
2017年6月30日 10:51:21,['見佢地食得咁開心，我相信屋企個啲一樣咁開心'],90,0,304094,2017,6
2017年6月30日 11:43:54,"['用大陸野都無人屌 連登仔好波', '如果有香港製造我用黎拍片又點話']",79,0,304094,2017,6
2017年6月30日 11:43:58,"['用大陸野都無人屌 連登仔好波', '師夷長技以制夷聽過未呀?害蟲']",75,0,304094,2017,6
2017年6月30日 12:56:44,"['利申番先 冇話曱甴好，只係認為人類比起曱甴更加垃圾', '道德高地得你識搶？', '純粹唔鍾意以為自己清高偽善撚']",74,2,304094,2017,6
2017年6月30日 10:59:16,"['', '小左好多，翻屋企前我沖下啦']",72,0,304094,2017,6
2017年6月30日 11:25:18,"['', '食飽飲青島 然後安心上路']",71,0,304094,2017,6
2017年6月30日 11:28:32,['竟然有人大愛包容甲由'],69,2,304094,2017,6
2017年6月30日 11:26:38,"['食咗咁耐都未死？', '你食錯野都唔會咁快肚屙啦']",67,1,304094,2017,6
2017年6月30日 10:47:34,"['樓主知唔知咁做會破壞到好多美好家庭', '', '我淨係知佢地食得好開心', '樓主痴線佬']",66,1,304094,2017,6
2017年6月30日 11:02:54,"['', '佢飲水，唔通知有毒？']",61,0,304094,2017,6
2017年6月30日 11:28:08,['我想搵方法殺蚊多啲 好癢'],61,1,304094,2017,6
2019年9月27日 14:10:15,['已經用十倍炒價買左一本'],45,0,1599070,2019,9
2019年9月27日 15:34:44,"['住廢老邨 咁早應該無咁多人搶', '一個已經KO你', '買咁多唔係食人血饅頭?', '38']",0,2,1599070,2019,9
2019年9月27日 13:52:17,"['香港人真係Cls', '', '其實我都係等緊', '34']",0,1,1599070,2019,9
2019年9月27日 13:49:23,"['血債票償 請投我一票 多謝', '26']",12,2,1599070,2019,9
2019年9月27日 16:57:41,['大家一人一份好啦 留比其他手足買'],12,0,1599070,2019,9
2019年9月27日 17:04:09,['好撚眼訓'],11,0,1599070,2019,9
2019年9月27日 13:47:49,"['七仔 ok通報幾點', '11']",0,2,1599070,2019,9
2019年9月27日 17:44:21,"['', '', '樓下間7仔仲未開', '6']",0,1,1599070,2019,9
2019年9月27日 16:16:27,"['早起鳥兒有蟲吃.', '大仙人OK已入手']",6,0,1599070,2019,9
2019年9月27日 21:05:12,"['剛剛有一個真係別人老豆買左一本立即收入包包。。佢個仔(目測8歲左右)唔佢老豆買甚麼。。。佢老豆細聲講。。只要知唔好問', '5']",0,1,1599070,2019,9
2019年9月27日 20:59:32,"['媽媽6點鐘就叫醒我一齊落ok 買', '我愛你媽媽', '希望你見到依個post 啦', '']",5,0,1599070,2019,9
2019年9月27日 18:05:22,['成世人第一次六點幾起身落街買報紙'],5,0,1599070,2019,9
2019年9月27日 17:07:13,['隆亨有大量！'],4,0,1599070,2019,9
2019年9月27日 17:52:18,"['顯示更多', '痴線佬唯有行遠d睇下仲有冇', '我等嘅成本同你行幾間嘅成本差唔多姐', '大家都係痴線佬不用分得那麼細', '呢個post特登起身買既都係痴線佬', 'Btw買到了', '成班痴線佬', '已經miss左兩次機會', '第三次唔可以再miss']",3,0,1599070,2019,9
2019年9月27日 17:47:09,"['顯示更多', '好彩晨早係入面捕住', '痴線佬唯有行遠d睇下仲有冇', '我等嘅成本同你行幾間嘅成本差唔多姐', '大家都係痴線佬不用分得那麼細', '呢個post特登起身買既都係痴線佬', 'Btw買到了', '3']",0,3,1599070,2019,9
2019年9月27日 17:16:40,"['成世人第一次5點落街買報紙', '終於訓得', '屌你我都係，第一次咁撚神心', '尋晚成兩點訓都要特登較鬧鐘六點醒落街買']",3,0,1599070,2019,9
2019年9月27日 16:26:53,[],3,0,1599070,2019,9
2019年9月27日 13:57:33,"['', '錄音黎嘅']",3,0,1599070,2019,9
2019年9月27日 13:56:14,"['香港人真係Cls', '', '其實我都係等緊', '好彩你唔係中國人咋hi', '咩人權都冇仲可唔可以做叫人']",3,0,1599070,2019,9
2019年9月27日 13:50:15,"['七仔 ok通報幾點', '通常', '打落去問下好啲', '啱啱去左七仔問 距好唔友好地叫我6點再落去買', '3']",0,2,1599070,2019,9
2023年11月27日 20:28:11,"['既然比連登仔玩撚走左mc同喃嘸佬', '兩個都係連登仔最憎', '得返張敬軒', '都係投返個正常少少', '697']",18,5,3564106,2023,11
2023年11月27日 20:36:16,"['張敬軒真係痴線 投比你啦', '337']",21,1,3564106,2023,11
2023年11月27日 20:32:07,"['根本佢唔想尹光拎 所以自己先咁chur', '300']",7,2,3564106,2023,11
2023年11月27日 20:25:40,"['https://www.facebook.com/singtaoentertainment/videos/383656374102049', '睇下軒仔可以落幾多場先', '247']",4,2,3564106,2023,11
2023年11月27日 20:30:56,"['睇黎佢都唔想尹光贏', '246']",5,1,3564106,2023,11
2023年11月27日 20:37:27,"['', '170']",4,3,3564106,2023,11
2023年11月27日 22:42:01,"['今年比上年積極拉票原因', '118']",3,2,3564106,2023,11
2023年11月27日 22:25:13,"['一早就講咗投張敬軒先有機會贏到班鏡', '成班人食錯藥走去投wan k.', '', '想鏡輸就只可以投張敬軒', '投wan k.個啲唔好同我講想鏡輸 根本就係推緊鏡再攞獎', '79']",5,2,3564106,2023,11
2023年11月27日 20:36:01,"['既然比連登仔玩撚走左mc同喃嘸佬', '兩個都係連登仔最憎', '得返張敬軒', '都係投返個正常少少', '連燈仔只係 少數人', '邊關連燈仔事', '66']",5,2,3564106,2023,11
2023年11月27日 21:56:57,['尹光抽明禎水死老嘢'],48,4,3564106,2023,11
2023年11月27日 23:03:04,"['我係估唔到佢原來咁緊張呢d獎', '好似當年d老野歌手死攬住唔肯放手咁', '對佢有少少失望', '佢自己話見到fans咁落力，自己唔可以坐定粒六，所以今年先咁緊張', '同埋其實佢入圍16年先攞得一次，點樣死攬住入唔入圍唔係佢自己話想就入到，係大家投票', '44']",3,1,3564106,2023,11
2023年11月27日 21:46:59,"['唔投尹光投張敬軒', '41']",3,1,3564106,2023,11
2023年11月27日 22:33:16,"['https://www.facebook.com/singtaoentertainment/videos/383656374102049', '睇下軒仔可以落幾多場先', '夜媽媽十一點幾仲落區拉票', '講真，勁過依家班垃圾區議員']",38,1,3564106,2023,11
2023年11月27日 20:44:21,"['周圍派', 'https://www.facebook.com/reel/403438475339219', '睇黎軒仔真係想拎', '玩膠都唔係呢個時候', '40']",7,3,3564106,2023,11
2023年11月27日 22:03:20,['佢呢下舉動我就投咗佢了'],34,2,3564106,2023,11
2023年11月27日 23:04:24,"['就偏偏投俾光B呀, 吹咩', '很想要吧?', '好反叛好型']",26,3,3564106,2023,11
2023年11月27日 21:52:42,"['張敬軒已經一把年紀，同期嗰班已經退曬，而家仲扮後生仔', '同期一係上晒大陸一係撈唔起', '得佢留港咪繼續玩囉', '25']",3,1,3564106,2023,11
2023年11月27日 21:46:49,"['既然比連登仔玩撚走左mc同喃嘸佬', '兩個都係連登仔最憎', '得返張敬軒', '都係投返個正常少少', '連燈仔只係 少數人', '邊關連燈仔事', '《明日戰記》連登仔夠有份捧,票房咪一樣好靚仔', '明日戰記簡直係連登史上最大pr事件', '講到唔睇就唔係黃', '23']",1,3,3564106,2023,11
2023年11月27日 23:33:43,"['我係估唔到佢原來咁緊張呢d獎', '好似當年d老野歌手死攬住唔肯放手咁', '對佢有少少失望', '咁就話失望你都幾玻璃心', '', '成件事都係想同粉絲一齊癲喪一次姐', '佢都話年年都唔care但俾fans打動到', '著緊一次都俾你呢d判官指手劃腳', '', '倒轉諗會唔會有大牌明星做到佢咁親民同粉絲打成一片咁搏盡一次，你覺得張敬軒真係今年先想紅攞呢個獎咩', '', '個人咩心地睇嘅野都唔同', '20']",1,3,3564106,2023,11
2023年11月27日 22:54:18,"['點解要咁做', '之前咁多年都未見過會有歌手拉票', '咁做好撚柒喎', '橫掂個遊戲都係鳩，不如玩盡佢，我覺得佢好夠姜']",18,1,3564106,2023,11
2023年11月27日 22:30:15,"['周圍派', 'https://www.facebook.com/reel/403438475339219', '睇黎軒仔真係想拎', '玩膠都唔係呢個時候', '反串下區選咋 你估真係志在咩', '班PR敢玩 佢又會陪住癲先好野']",17,0,3564106,2023,11
2023年11月27日 21:52:14,"['乜嘢都係連登仔玩膠', '其他原因就唔理唔講', '就連媒體會報都係因為連登仔', 'D logic錯到離哂譜', '仲要唔係一個post係咁', '連登真係好鬼勁', '吉村蛇好嘢', '19']",2,2,3564106,2023,11
2023年11月27日 23:04:39,"['我頭2 round投鏡都改投軒', '佢上哂岸其實冇必要咁拉票', '佢難得咁落力爭取 今年嘅歌又好聽', '一定all in 軒', '', '雖然身邊仲有好多玩膠投尹光']",19,5,3564106,2023,11
2023年11月27日 23:03:29,"['就偏偏投俾光B呀, 吹咩', '很想要吧?', '師兄好型好威']",16,2,3564106,2023,11
2022年6月2日 09:31:19,"['喺一個風和日麗嘅週末', '小明行落街吹下風', '', '', '', '以上故事純屬虛構 如有雷同 實屬巧合', '91']",19,4,3027264,2022,6
2022年6月2日 08:32:27,"['小明就係樓主', '13']",1,1,3027264,2022,6
2022年6月2日 09:33:14,"['喺一個風和日麗嘅週末', '小明行落街吹下風', '', '', '', '以上故事純屬虛構 如有雷同 實屬巧合', 'ok啦，算係一個完整故事嘅', '等你下次開post', '11']",0,1,3027264,2022,6
2022年6月2日 08:32:05,"['打針死?', '被人殺?', '4']",0,1,3027264,2022,6
2022年6月2日 08:37:02,"['顯示更多', '否', '是', '係謀殺 (有心殺佢) ?', '係謀殺', '但冇心殺佢', '無心點謀殺', '3']",0,1,3027264,2022,6
2022年6月2日 08:45:45,"['俾死黑驚害死？', '仆街 你點知的', '是']",3,1,3027264,2022,6
2022年6月2日 08:45:13,"['俾死黑驚害死？', '2']",0,1,3027264,2022,6
2022年6月2日 11:45:14,['睇完個尾好心up'],1,0,3027264,2022,6
2022年6月2日 09:38:57,"['戴多次頭盔', '', '以上故事純屬虛構 如有雷同 實屬巧合', '']",2,1,3027264,2022,6
2022年6月2日 09:15:10,"['鬧嘅對象唔係黑警？', '怕你打漏字', '小明係鬧黑警', '小明講8964', '1']",0,1,3027264,2022,6
2022年6月2日 09:14:22,"['鬧嘅對象唔係黑警？', '怕你打漏字', '小明係鬧黑警', '2']",1,2,3027264,2022,6
2022年6月2日 08:55:55,"['啲狗撩小明先？', '1']",0,1,3027264,2022,6
2022年6月2日 08:49:15,"['小明喺條街嗰到見到黑警然後發癲，啲狗以為佢想襲擊佢地，跟住就跪佢頸，然後就窒息死左', '1']",0,1,3027264,2022,6
2022年6月2日 08:48:34,"['落街大叫 光復香港', '之後比黑驚打死', '1']",0,1,3027264,2022,6
2022年6月2日 08:46:07,"['殺佢個人係警察？', '係']",1,0,3027264,2022,6
2022年6月2日 08:45:28,"['殺佢個人係警察？', '1']",0,1,3027264,2022,6
2022年6月2日 11:03:15,"['喺一個風和日麗嘅週末', '小明行落街吹下風', '', '佢死咗', '', '淨係答yes or no開始', '小明係鏝狗？']",0,0,3027264,2022,6
2022年6月2日 10:38:02,"['小明大左係咪變大明？', '唔知 佢死咗', '又話淨係答yes or no?']",0,0,3027264,2022,6
2022年6月2日 10:35:42,['又嚟蟻多嬲死象'],0,0,3027264,2022,6
2022年6月2日 10:32:11,[],0,0,3027264,2022,6
2022年6月2日 10:11:41,['除yes no 仲可以答唔肯定'],0,0,3027264,2022,6
2022年7月1日 23:15:10,['我想去萬宜水庫東壩'],0,0,3060970,2022,7
2022年7月1日 22:54:20,"['落囉', '冇車', '住邊，車你']",0,0,3060970,2022,7
2021年4月4日 22:51:47,"['顯示更多', '屌 原來係供成老師', '又改名', '改咗個名令到cctoy 班小朋友扎扎跳', '我諗住下次改名改']",0,0,2475670,2021,4
2021年4月4日 21:46:13,"['顯示更多', '假', '手足', '屌 原來係供成老師', '又改名', '改咗個名令到cctoy 班小朋友扎扎跳', '0']",0,1,2475670,2021,4
2021年4月4日 21:16:56,"['顯示更多', '真', '假', '手足', '屌 原來係供成老師', '又改名', '0']",0,1,2475670,2021,4
2021年4月4日 21:11:38,"['屌你老味咁涼嘅？！', '暖化撚呢？？？', '真', '假', '手足', '0']",0,1,2475670,2021,4
