,time,text,support,against,post_id,year,month
27,2019年8月15日 13:23:57,"['https://www.susdev.org.hk/tc/paper-summary.php', '仲有依個 香港至2050年長遠減碳策略 又係咨詢到9月', '0']",0,1,1476266,2019,8
28,2019年8月15日 13:18:20,"['淨係“明日大嶼”，都已經好明顯係利益輸送俾中資。我先唔講生態問題。我哋好似得1x,xxx億儲備。10,000億個明日大嶼，咪暗渡陳倉啲$返大陸。', '大陸有外匯管制，香港外滙我唔清楚', '淨係知對大陸嘅外國投資~60%係經香港。', '我唔明而家大陸好似殺雞取卵咁。', '各位巴打絲打，點睇？', '自己做到既就係換美金自保']",0,0,1476266,2019,8
29,2019年8月15日 13:16:54,"['普教中！！！救下香港嘅下一代！！！！', 'https://lih.kg/1475548', '- 分享自 LIHKG 討論區']",0,0,1476266,2019,8
30,2019年8月15日 13:15:36,"['', '', '', '', '齊來參與instagram同facebook嘅 #全城?美元 #USDchallenge 啦', '', '', '', '一齊把愛傳出去，令更多人係ig同fb見到，之後?美元', '', '［突發］有人起ig搞左個「#全城?美元」挑戰', 'https://lih.kg/1476098']",0,0,1476266,2019,8
31,2020年5月24日 15:41:23,"['1. 有野同中國deal 緊想用香港施壓', '', '2. 美國幫口，英國想同美國改善關係所以搞平權', '', '3. 英國想吸納大量香港人材發展，特別係倫敦金融業，補足脫歐可能會失去既歐盟人材', '', '利伸全部鳩估冇任何實證支持，純粹拋磚引玉', '105']",5,4,2033680,2020,5
32,2020年5月24日 15:33:49,"['我真係諗唔到點解佢要咁做，仲要而家肺炎後元氣大傷', '自己好果時都唔提，而家咁環境黎平權 ?', '', '每樣野背後一定有動機，所有動機原機都係利益', '', '有巴打話呢個用黎將港人轉用英國人，中共迫害就有得出手做野', '', '英國要出手，其實佢只要宣佈中國違返一國兩制，要收番或者戒入香港事務，連美國都做樣落黎寫report預備制裁，佢英國做過乜野?', '', '我睇唔到任何動機英國要做呢個決定', '其實係責任嚟，一直都要做，佢而家只係做返應做嘅事', '要搵原因嘅，一年嚟逼到中共攬炒到癡晒線，去到一個程度佢已經無得扮睇唔到', '116']",21,8,2033680,2020,5
33,2020年5月24日 15:40:53,"['我真係諗唔到點解佢要咁做，仲要而家肺炎後元氣大傷', '自己好果時都唔提，而家咁環境黎平權 ?', '', '每樣野背後一定有動機，所有動機原機都係利益', '', '有巴打話呢個用黎將港人轉用英國人，中共迫害就有得出手做野', '', '英國要出手，其實佢只要宣佈中國違返一國兩制，要收番或者戒入香港事務，連美國都做樣落黎寫report預備制裁，佢英國做過乜野?', '', '我睇唔到任何動機英國要做呢個決定', '其實係責任嚟，一直都要做，佢而家只係做返應做嘅事', '要搵原因嘅，一年嚟逼到中共攬炒到癡晒線，去到一個程度佢已經無得扮睇唔到', '責任係用黎做戲比人睇', '都真係take action就係利益先行', '咁大班人放入黎，對英國本土有幾大影響係預計唔到', '71']",10,3,2033680,2020,5
34,2020年5月24日 17:46:34,"['呢個係英國嘅歷史責任嚟', '有啲人諗嘢永遠只有利益，以為自己睇通全世界', '民主國家緊係睇自己國家選民既利益啦', '你是咪忽撚左呀', '26']",0,2,2033680,2020,5
35,2020年5月24日 17:10:40,"['1. 填補脫歐後人力資源不足', '2.人道立場', '3.幫助美國抗衡中國']",27,3,2033680,2020,5
36,2020年5月24日 16:09:17,['有冇第二句呀五毛？'],13,1,2033680,2020,5
37,2020年5月24日 18:47:33,"['好處', '1. 相對廉價勞動力', '2. 投資資金', '3. 抽走香港人材，其實鞏固返倫敦世界金融中心嘅地位+打擊中共', '', '壞處', '1. 人數增加，對社會資源造成壓力。呢點視乎最後有幾多人攞到居英權。我傾向香港人即使到埗後have no recourse to social security fund', '2. 香港人cluster起嚟，唔肯融入嘅話，又係另一個問題。到時滿地中文招牌又唔討好。我傾向英國要設立審查制度，將啲唔肯融入嘅死藍絲彈返開', '7']",0,2,2033680,2020,5
38,2020年5月24日 18:48:13,"['而家英國狂起樓，谷gdp', '武肺之後，啲愛國小粉紅返哂去中國捐軀', '而香港有bno嗰喳人，有一定經濟基礎，絶對可幫到英國補血']",5,0,2033680,2020,5
39,2020年5月24日 19:58:21,"['我覺得而家會因為BNO去英國嘅人全部都係生力軍', '九七前講緊係23歲以上嘅人', '', '1）呢啲人大部分都有工作能力', '2）識講英文 （我覺得唔識講英文應該唔會去）', '', '雖然同專才移民嘅整體質素一定冇得比 但係你唔可以話呢班揸BNO嘅人一定係負資產', '4']",0,2,2033680,2020,5
40,2020年5月24日 16:08:00,"['我真係諗唔到點解佢要咁做，仲要而家肺炎後元氣大傷', '自己好果時都唔提，而家咁環境黎平權 ?', '', '每樣野背後一定有動機，所有動機原機都係利益', '', '有巴打話呢個用黎將港人轉用英國人，中共迫害就有得出手做野', '', '英國要出手，其實佢只要宣佈中國違返一國兩制，要收番或者戒入香港事務，連美國都做樣落黎寫report預備制裁，佢英國做過乜野?', '', '我睇唔到任何動機英國要做呢個決定', '英國對中國開戰用', '美國再幫拖', '', '開戰理由：', '數百萬英國人係香港被中共逼害', '', '實際係英國出豉油', '美國出雞']",8,4,2033680,2020,5
41,2020年5月24日 19:52:28,"['1. 有野同中國deal 緊想用香港施壓', '', '2. 美國幫口，英國想同美國改善關係所以搞平權', '', '3. 英國想吸納大量香港人材發展，特別係倫敦金融業，補足脫歐可能會失去既歐盟人材', '', '利伸全部鳩估冇任何實證支持，純粹拋磚引玉', '睇錯倫敦金要人材']",3,0,2033680,2020,5
42,2020年5月24日 19:32:35,"['好簡單', '想要錢', '', '香港人會帶到大量財富過去', '有幾多財富，有錢ge真係要靠BNO平權先走倒?', '3']",0,2,2033680,2020,5
43,2020年5月24日 19:24:27,"['我真係諗唔到點解佢要咁做，仲要而家肺炎後元氣大傷', '自己好果時都唔提，而家咁環境黎平權 ?', '', '每樣野背後一定有動機，所有動機原機都係利益', '', '有巴打話呢個用黎將港人轉用英國人，中共迫害就有得出手做野', '', '英國要出手，其實佢只要宣佈中國違返一國兩制，要收番或者戒入香港事務，連美國都做樣落黎寫report預備制裁，佢英國做過乜野?', '', '我睇唔到任何動機英國要做呢個決定', '其實係責任嚟，一直都要做，佢而家只係做返應做嘅事', '要搵原因嘅，一年嚟逼到中共攬炒到癡晒線，去到一個程度佢已經無得扮睇唔到', '覺得日落國咁做反而係逃避責任', '佢嘅責任源自中英聯合聲明，到依家咁佢係應該指出因為中國破壞中英聯合聲明，而要收返香港/搞返好香港，佢個責任應該係咁付', '', '認真，過到去佢唔會幫到你啲咩，可能食同住都比住你先，但之後呢？咁多人一齊走過去，某程度係同當地人爭飯食，到時大家都變咗入侵者', '', '可預見嘅係會將難民放係同一個地方先，而果到係未成功開荒前，只係難民營', '而且你過到去可以做咩？返咩工？咪當地人唔做嘅工囉', '', '咁當然有家人朋友一早係果邊就唔同啦']",3,0,2033680,2020,5
44,2020年5月24日 19:00:25,"['國民就唔會到而家仲係bno 啦', '3']",0,1,2033680,2020,5
45,2020年5月24日 20:18:39,"['死左咁多人，補充返啲有學識又有錢又識洗廁所人種幾好吖', '洗廁所好過被自殺啦係咪呀？', '宜家俾BC你逼你放棄香港咩？', '你鍾意可以留香港嫁', '講到香港對大學生待遇好好咁', '三大fg14k', '2']",0,1,2033680,2020,5
46,2020年5月24日 19:51:20,"['呢個係英國嘅歷史責任嚟', '有啲人諗嘢永遠只有利益，以為自己睇通全世界', '啱啱出世咩唔好講啲咁天真說話', '3']",1,2,2033680,2020,5
47,2020年5月24日 19:22:47,"['1. 有野同中國deal 緊想用香港施壓', '', '2. 美國幫口，英國想同美國改善關係所以搞平權', '', '3. 英國想吸納大量香港人材發展，特別係倫敦金融業，補足脫歐可能會失去既歐盟人材', '', '利伸全部鳩估冇任何實證支持，純粹拋磚引玉', '咁引專才得啦， 洗咩吸哂所有bno', '淨係專才誘因唔夠大', '', '英國咩前景呀 我係專才就大把地方選擇揀', '', '而且bno條人數又唔係大', '', 'bno起碼大部分身邊朋友 家人 都有份', '', '大家商量易話圍好多', '依家香港人咩環境呀', '仲學人揀， 天堂有路你走， 走都走唔切啦', '有得揀， 你走左啦， 仲洗咩等bno平權']",2,0,2033680,2020,5
48,2020年5月24日 19:20:20,"['1. 有野同中國deal 緊想用香港施壓', '', '2. 美國幫口，英國想同美國改善關係所以搞平權', '', '3. 英國想吸納大量香港人材發展，特別係倫敦金融業，補足脫歐可能會失去既歐盟人材', '', '利伸全部鳩估冇任何實證支持，純粹拋磚引玉', '咁引專才得啦， 洗咩吸哂所有bno', '淨係專才誘因唔夠大', '', '英國咩前景呀 我係專才就大把地方選擇揀', '', '而且bno條人數又唔係大', '', 'bno起碼大部分身邊朋友 家人 都有份', '', '大家商量易話圍好多', '3']",1,1,2033680,2020,5
49,2020年5月24日 18:28:15,"['呢個係英國嘅歷史責任嚟', '有啲人諗嘢永遠只有利益，以為自己睇通全世界', '民主國家緊係睇自己國家選民既利益啦', '你是咪忽撚左呀', '我係話利益唔係所有嘅consideration呀天才', '3']",1,1,2033680,2020,5
50,2020年5月24日 17:25:29,['勞動力 錢'],3,1,2033680,2020,5
51,2020年5月25日 00:52:35,"['國民就唔會到而家仲係bno 啦', 'Bno係國民，不過係二等姐']",1,0,2033680,2020,5
52,2020年5月24日 23:35:47,"['我真係諗唔到點解佢要咁做，仲要而家肺炎後元氣大傷', '自己好果時都唔提，而家咁環境黎平權 ?', '', '每樣野背後一定有動機，所有動機原機都係利益', '', '有巴打話呢個用黎將港人轉用英國人，中共迫害就有得出手做野', '', '英國要出手，其實佢只要宣佈中國違返一國兩制，要收番或者戒入香港事務，連美國都做樣落黎寫report預備制裁，佢英國做過乜野?', '', '我睇唔到任何動機英國要做呢個決定', '其實係責任嚟，一直都要做，佢而家只係做返應做嘅事', '要搵原因嘅，一年嚟逼到中共攬炒到癡晒線，去到一個程度佢已經無得扮睇唔到', '真係有人相信責任同愛與和平', '1']",0,1,2033680,2020,5
53,2020年5月24日 21:03:26,"['我真係諗唔到點解佢要咁做，仲要而家肺炎後元氣大傷', '自己好果時都唔提，而家咁環境黎平權 ?', '', '每樣野背後一定有動機，所有動機原機都係利益', '', '有巴打話呢個用黎將港人轉用英國人，中共迫害就有得出手做野', '', '英國要出手，其實佢只要宣佈中國違返一國兩制，要收番或者戒入香港事務，連美國都做樣落黎寫report預備制裁，佢英國做過乜野?', '', '我睇唔到任何動機英國要做呢個決定', '其實係責任嚟，一直都要做，佢而家只係做返應做嘅事', '要搵原因嘅，一年嚟逼到中共攬炒到癡晒線，去到一個程度佢已經無得扮睇唔到', '責任係用黎做戲比人睇', '都真係take action就係利益先行', '咁大班人放入黎，對英國本土有幾大影響係預計唔到', '過到走去交足稅唔係白食白住?啵', '你估啲稅好似香港咁低']",1,0,2033680,2020,5
54,2020年5月24日 20:48:23,"['點解大家會變左傾專才佢想吸引專才補脫歐流失只需要放寬少少專才移民，全世界大把人去，仲可以自己控制質素，洗乜收BNO', '其次係無人會預期31.5萬人會大部分專才掛？一半係大學畢業都偷笑，講緊廿幾年前申請落，可能有一堆退左休/接近添...', '吸資金仲搞笑，有錢到要英國吸既就唔係揸緊BNO啦而且多左班人，對城市負責大左，醫療交通住屋基建呢啲洗既錢仲多', '', '所以我諗真係純粹左膠既責任感，英國政府接收完少左個話題比人屌，到時同香港關係又少啲', '1']",0,1,2033680,2020,5
55,2018年4月6日 12:51:04,['但一定勁多仇家'],1,0,619531,2018,4
56,2019年12月7日 03:12:45,"['', '搵icac', '唔記得執咗添']",5,0,1773163,2019,12
57,2019年12月7日 03:20:32,"['今次點兜', '防止賄賂條例 第3條 索取或接受利益', '任何訂明人員未得行政長官一般或特別許可而索取或接受任何利益，即屬犯罪。', '', '即係只要柒婆批准佢地收座金山都仲得 你認為今時今日佢地仲要兜啲乜?']",2,0,1773163,2019,12
58,2019年12月7日 03:11:53,"['香港，勝在有ICAC？', '笑L咗']",2,0,1773163,2019,12
59,2019年12月7日 03:28:49,"['', '', '', '畜牲啲笑容好嘔心']",1,0,1773163,2019,12
60,2019年12月7日 03:25:35,"['咁就核彈？咁警甴儲埋既應該夠毀滅地球', 'ICAC唔會執法，轉咗行經營咖啡店啦']",1,0,1773163,2019,12
61,2019年12月7日 03:17:47,['海底撈 $5 現金劵'],1,0,1773163,2019,12
62,2019年12月7日 03:10:13,['成個桂倫美咁，係咪我眼殘'],1,0,1773163,2019,12
63,2019年12月7日 03:09:51,"['香港真係冇警察，得公安', '1']",0,1,1773163,2019,12
64,2019年12月7日 11:24:40,"['隻女POPO有d似桂綸鎂', '都係畜牲', '桂佢老母 狗閪個心黑色架']",0,0,1773163,2019,12
65,2019年12月7日 11:20:01,['朱古力黎'],0,0,1773163,2019,12
66,2019年12月7日 03:29:15,"['隻女POPO有d似桂綸鎂', '都係畜牲', '0']",0,1,1773163,2019,12
67,2019年12月7日 03:27:17,['公然收保護費'],0,0,1773163,2019,12
68,2019年12月7日 03:20:15,['光大白日之下...'],0,0,1773163,2019,12
69,2019年12月7日 03:18:25,"['仲話高薪養廉', '', '', '', 'By the way, 借宣傳一下個APP', '', '香港地投票 - 黎投票啦！', 'https://lih.kg/1758886']",0,0,1773163,2019,12
70,2019年12月7日 03:12:53,"['今次點兜', '入面只係一啲打氣字句', '0']",0,1,1773163,2019,12
71,2019年8月8日 01:21:41,['小推......'],0,0,1431980,2019,8
72,2024年2月15日 22:03:01,"['巨型紅心「Chubby Hearts Hong Kong」，由情人節到 2 月 24 元宵會在全港多區快閃，這活動獲由文化藝術盛事基金資助，是基金今年資助的第一個活動，港府亦大力推廣視為旅遊重頭戲。', '', '有「股壇長毛」之稱的獨立股評人 David Webb，昨日在 Facebook 專頁發文，質疑政府到底用了納稅人多少錢來幫一個「手袋設計師」宣傳，花錢邀請她來香港重覆辦一個已經在倫敦做過的活動。', '', 'David Webb 又指，Chubby Hearts 的設計師 Anya Hindmarch，本身是 K11 Musea 有租舖，質疑她作為新世界集團的租客，與身兼文化藝術盛事基金主席的新世界行政總裁鄭志剛，有利益衝突甚至利益輸送之嫌，「宣傳她應該有助你的租金，實在令人暖心。」', '', '文化及體育旅遊局回應傳媒查詢時指，文化藝術盛事委員會是政府諮詢組織，負責就文化藝術盛事及基金運作提供意見，協助政府審議基金申請，而包括正副主席在內的所有委員，均需要並已經按機制，在審批所有項目時申報利益。', '', 'https://www.instagram.com/p/C3ZNjHshOPx/?igsh=MW56dzFrMnppY29hYw==']",15,1,3629294,2024,2
73,2024年2月15日 22:34:03,"['個心好肉酸，共匪政權D品味', '']",3,0,3629294,2024,2
74,2024年2月15日 23:46:59,['係，申報咗就可以輸送。'],2,0,3629294,2024,2
75,2024年2月15日 22:35:49,"['呢單野有啲矯枉過正', '唔通要通街乞食先係藝術家咩', '', '做得Pop Art有鋪頭都不為過', '', '有申報利益既話問題何在？', '', '', '除非無', '商場活動，市民找數', '1']",0,1,3629294,2024,2
76,2024年2月15日 22:15:34,['一個E啦，一個億差唔多架啦，用萬做單位唔體面呀'],1,0,3629294,2024,2
77,2024年2月17日 08:39:35,['冚家剷老廉拉人未'],0,0,3629294,2024,2
78,2024年2月17日 07:36:09,"['Chubby Hearts｜文體旅局耗資780萬\u3000淘寶A貨最平幾百有交易', '', '首個由文化藝術盛事基金贊助的公共設計及藝術項目「Chubby Hearts Hong Kong」，據傳媒報道，活動獲基金資助約780萬港元。不過，近日於內地「淘寶網」上亦出現相似吹氣產品，最便宜數百元人民幣已有交易。', '', '「淘寶網」相似吹氣愛心僅售650人幣', '內地「淘寶網」上，最便宜的相似款直徑2米吹氣愛心，售310元人民幣；至於最貴的為直徑5米的吹氣愛心，售1,600元人民幣；而與在各區「快閃」展出的3米氣球，相似款直徑3米吹氣愛心，只售650元人民幣。', '文體旅局：資助金額約為780萬港元', '此前文體旅局回覆本地傳媒指，「Chubby Hearts Hong Kong」獲文化藝術盛事基金資助，資助金額約為780萬港元，用於策展、展品製作及展示、本地設計師及藝術家創作、工作人員及保安、市場調研、本地及海外推廣等費用。', '', '原文刊登於 AM730', '', 'https://liff.line.me/1544998575-dRP8PO9n/v2/article/nX5ZXQq?utm_source=copyshare', '', '咁嘅氣球要洗成780萬']",0,0,3629294,2024,2
79,2024年2月15日 22:34:54,['再嘈揾國安法鎖你'],0,0,3629294,2024,2
80,2024年2月15日 22:12:27,"['48歲男子急需心臟移植\u3000主診醫生：未來兩至三周屬換心黃金時間 (12:19)', '呢到有兩個心', '岩唔岩換']",1,1,3629294,2024,2
81,2024年2月15日 22:03:14,"['巨型紅心「Chubby Hearts Hong Kong」，由情人節到 2 月 24 元宵會在全港多區快閃，這活動獲由文化藝術盛事基金資助，是基金今年資助的第一個活動，港府亦大力推廣視為旅遊重頭戲。', '', '有「股壇長毛」之稱的獨立股評人 David Webb，昨日在 Facebook 專頁發文，質疑政府到底用了納稅人多少錢來幫一個「手袋設計師」宣傳，花錢邀請她來香港重覆辦一個已經在倫敦做過的活動。', '', 'David Webb 又指，Chubby Hearts 的設計師 Anya Hindmarch，本身是 K11 Musea 有租舖，質疑她作為新世界集團的租客，與身兼文化藝術盛事基金主席的新世界行政總裁鄭志剛，有利益衝突甚至利益輸送之嫌，「宣傳她應該有助你的租金，實在令人暖心。」', '', '文化及體育旅遊局回應傳媒查詢時指，文化藝術盛事委員會是政府諮詢組織，負責就文化藝術盛事及基金運作提供意見，協助政府審議基金申請，而包括正副主席在內的所有委員，均需要並已經按機制，在審批所有項目時申報利益。', '', 'https://www.instagram.com/p/C3ZNjHshOPx/?igsh=MW56dzFrMnppY29hYw==']",1,1,3629294,2024,2
82,2024年2月15日 22:01:32,[],9,1,3629294,2024,2
83,2024年2月15日 23:22:50,"['呢單野有啲矯枉過正', '唔通要通街乞食先係藝術家咩', '', '做得Pop Art有鋪頭都不為過', '', '有申報利益既話問題何在？', '', '', '除非無', '商場活動，市民找數', '會十八區周圍走', '', '尖沙咀唔去K11唔通去重慶咩']",0,1,3629294,2024,2
84,2024年2月15日 22:03:05,"['48歲男子急需心臟移植\u3000主診醫生：未來兩至三周屬換心黃金時間 (12:19)', '0']",1,1,3629294,2024,2
85,2023年12月19日 07:41:08,"['50樓以前強拍門檻9成依家8成 黎緊去到7成，70年樓就6成 ，坐地起價能力已經冇咁高。', '總之見好就收 自己層樓值幾多錢個心冇底咩， 一個唔該 隔黎個陳師奶起飛腳賣先過你，你就係咁先，等強拍 ，強拍個價一定同收購價尾水差唔少', '', '所以呢越舊嘅樓越唔好掂', '18']",0,2,3581611,2023,12
86,2023年12月19日 07:56:53,"['50樓以前強拍門檻9成依家8成 黎緊去到7成，70年樓就6成 ，坐地起價能力已經冇咁高。', '總之見好就收 自己層樓值幾多錢個心冇底咩， 一個唔該 隔黎個陳師奶起飛腳賣先過你，你就係咁先，等強拍 ，強拍個價一定同收購價尾水差唔少', '', '所以呢越舊嘅樓越唔好掂', '再遲d 五,四成, 你層樓一文不值', '舊樓真心冇咩買黎等收購呢支歌仔唱啦，你唔見除咗戰前樓外，美孚同太古 呢d以前硬到咩咁既盤都冧晒價。政府只會不停調低收購舊樓難度。', '', '仲有就係，係收購攻防戰當中，你永遠唔知發展商收購咗幾多業權，特別啲舊唐樓，連地舖嗰啲，你以為仲有好多住戶人未賣，其實發展商可能同啲地舖業主傾緊，收埋就夠數，佢在明你在暗 ，小業主冇盤數睇 ，你唔放時人地放緊，你點夠薑坐貨坐咁耐 唔係以前架啦。', '', '依家講緊買層樓60年樓齡65%業權 已經收得你皮', '', '香港邊個大型屋苑就黎60？ 好走啦', '4']",0,2,3581611,2023,12
87,2023年12月20日 01:00:22,"['顯示更多', '叫你搵14700跌到10200wor？？搵啦', '14700to 10200係月份 平均成交黎 即是 高既月份有15000，低嘅月份有9000幾 你到底明唔明 大體講緊美孚跑輸樓市。', '按現價計 收租回報做到接近4%', '自住老野冇能力換樓', '強拍門檻調低都三成 我都幾難見到有人會簽', '門檻會唔會低過三成，都強拍唔到美孚新邨呢個係你既推測 我只講客觀現存嘅條件同問題， 即係門檻越低，強拍越容易，業主議價能力越低，價錢自然傾向低。', '', '另外買層美孚嚟收租學你話齋就算依家有4%，層樓越嚟越舊，面對貶值，夾錢維修機會就大增，都未講收購價嘅議價能力冇以前咁高，賺頭蝕尾？ 人都係要睇長遠啲嘅。', '3']",0,1,3581611,2023,12
88,2023年12月20日 01:34:01,"['舊樓重建已經玩完', '市區地都四千蚊買到仲使乜收購多咁多成本', '2']",0,1,3581611,2023,12
89,2023年12月20日 00:31:22,"['顯示更多', '你講咩高位14700多餘 係咪同一座向層數單位先？？', '做好research先講', '', '咁你咪睇下係咪超過一半人咁渴望訓街去賤賣既啫', '搞得大屋苑就一定安排個竇俾你訓啦 成日訓街訓街咁 ，老人家講嘢就係咁一竹竿，過去20年強拍嗰啲全部瞓街？', '', '屋苑月份平均成交價，上地產網站查吓 ， 下下要等同一個單位下次成交 先知道個屋苑升跌，差餉物業估價署，銀行， 地產指數 ，全部唔使出啦 神邏輯', '你所謂而家賣10200嗰堆 高位有鬼上過13k咩', '', '有原區安置已經贏咗啦 將來個價少過而家有咩所謂？？ 而家叫你賤賣 你連天水圍都買唔番', '係?，唔通買層樓 住到強拍 老馮要政府俾層原區新樓俾你咩？ 咁樣嗰個買舊樓啦 ，舊樓又平，住完仲可以換新樓，事實上你買層舊樓，同一價錢買大d嘅空間住 個Credit已經用咗', '', '', '你要搵14700跌到 10200 搵到先當係？ 呢個命題本身已經錯咗 ，屋苑成交值幾錢係講緊個平均呎價，我頭先先俾呢兩條數係公開透明嘅地產網站 每月嘅成交平均呎價，對一個過萬單位既超大型屋苑嚟講，數據覆蓋量已經好公道?喇，14700 to 10200 即係跌30% ，美孚同一個單位買入賣出價跌30%既新聞，唔使我搵俾你啊？', '2']",0,3,3581611,2023,12
90,2023年12月19日 22:28:47,"['係網上730搵到', '', '一般最常見的誤解就是強拍只是強制出售發展商未成功收購的業權，所以有些不願出售自己單位的小業主往往會擔心自己的單位會被賤賣。實情當然不是，發展商是要將自己成功收購的單位，與未成功收購的單位一併為百份百業權並在市場以公開拍賣形式出售，售出的金額再以各單位的「現值」按比例攤分。舉例一幢六層高的唐樓，地舖現值500萬元，樓上五層每層現值100萬元，則整幢大廈總現值為1,000萬元，因此樓上每層佔整體的十分一。假如整幢大廈經公開拍賣可以賣得一億元，則樓上每層可從拍賣收入分得1,000萬元。上述安排其實是保障各小業主，例如地舖的業主理應分得比樓上多。', '', '覺得上面段野好似有d昆水成份', '', '當發展商A拿左9成業權，其實佢邊有原因出一億，又無人同佢爭', '', '反而如果有其他發展商B來爭，枱高個價只會益左本身揸大貨的發展商B、更加無人來爭', '', '最後底價成交', '', '咁諗有冇錯？', '即係就算做唔到強拍前幾戶，入咗強拍', '最後個價係全棟依強拍價按比例分？', '我覺得個例子取考', '', '邊有人會出一億去買', '', '最後只會底價成交', '', '不過只係估', '', '有冇專業人士來分析下', '個例子同我唔係講緊呢點', '佢當層樓收購價值係十倍', '收8成用咗8千萬，就算強拍底價都係8千萬', '尾2成業主各分到8百萬', '做唔到一千萬，都未至於賤價']",2,0,3581611,2023,12
