"調查開始日期Survey Start Date","調查結束日期Survey End Date","成功樣本Successful cases","次樣本人數Subsample","回應率Response rate","好滿意Very satisfied","幾滿意Quite satisfied","滿意Satisfied","一半半Half-half","幾唔滿意Quite dissatisfied","好唔滿意Very dissatisfied","唔滿意Dissatisfied","唔知/難講DK/HS","總數Total","淨值Netvalue","平均量值Mean value","基數Base","樣本平均標準誤差Standard Error of Mean","備注Remark"
"2004-07-26","2004-07-29","1,005","1,005","60.6%","2.7%","19.4%","22.1%","23.6%","31.3%","16.6%","47.9%","6.4%","100.0%","-25.8%","2.6","936","0.1",""
"2004-04-19","2004-04-22","1,029","1,029","61.1%","2.1%","19.6%","21.7%","17.8%","27.9%","23.9%","51.8%","8.6%","100.0%","-30.1%","2.4","940","0.1",""
"2004-01-26","2004-01-29","1,056","1,056","65.4%","2.1%","18.0%","20.1%","26.0%","32.5%","14.2%","46.7%","7.3%","100.0%","-26.6%","2.6","968","0.1",""
"2003-10-19","2003-10-22","1,017","1,017","60.0%","1.7%","20.7%","22.4%","27.9%","29.5%","12.7%","42.2%","7.6%","100.0%","-19.8%","2.7","934","0.1",""
"2003-07-14","2003-07-16","1,073","1,073","69.2%","2.3%","15.0%","17.3%","16.5%","35.4%","23.5%","58.9%","7.3%","100.0%","-41.6%","2.3","988","0.1",""
"2003-05-15","2003-05-20","1,067","1,067","65.1%","2.1%","24.8%","26.9%","23.3%","28.2%","14.0%","42.2%","7.6%","100.0%","-15.3%","2.7","985","0.1",""
"2003-03-17","2003-03-19","1,068","1,068","71.5%","1.4%","24.5%","25.9%","24.5%","29.8%","10.6%","40.4%","9.1%","100.0%","-14.5%","2.7","967","0.1",""
"2003-01-20","2003-01-23","1,049","1,049","66.2%","1.1%","22.3%","23.4%","20.8%","32.7%","12.8%","45.5%","10.3%","100.0%","-22.1%","2.6","937","0.1",""
"2002-11-13","2002-11-20","1,058","1,058","65.2%","2.3%","21.4%","23.7%","27.0%","28.3%","10.9%","39.2%","10.1%","100.0%","-15.5%","2.7","945","0.1",""
"2002-09-12","2002-09-17","1,062","1,062","69.0%","0.6%","22.8%","23.4%","28.8%","30.4%","6.7%","37.1%","10.7%","100.0%","-13.7%","2.8","944","0.1",""
"2002-07-02","2002-07-03","1,068","1,068","67.7%","0.6%","29.8%","30.4%","23.2%","28.3%","6.9%","35.2%","11.2%","100.0%","-4.8%","2.9","946","0.1",""
"2002-05-02","2002-05-07","1,069","1,069","65.4%","0.5%","29.2%","29.7%","25.7%","28.6%","6.0%","34.6%","9.8%","100.0%","-4.9%","2.9","964","0.1",""
"2002-03-01","2002-03-05","1,017","1,017","61.3%","0.9%","30.5%","31.4%","23.9%","28.8%","5.9%","34.7%","10.0%","100.0%","-3.3%","2.9","911","0.1",""
"2002-01-02","2002-01-06","1,046","1,046","65.6%","1.1%","28.6%","29.7%","28.8%","25.1%","6.6%","31.7%","9.9%","100.0%","-2.0%","2.9","943","0.1",""
"2001-11-01","2001-11-05","1,096","1,096","63.9%","1.8%","26.0%","27.8%","29.4%","27.1%","6.2%","33.3%","9.5%","100.0%","-5.5%","2.9","989","0.1",""
"2001-09-03","2001-09-07","1,056","1,056","60.6%","0.3%","21.3%","21.6%","34.3%","25.5%","6.0%","31.5%","12.5%","100.0%","-9.9%","2.8","920","0.1",""
"2001-07-03","2001-07-09","1,051","1,051","78.6%","0.4%","20.0%","20.4%","27.1%","33.3%","8.2%","41.5%","11.0%","100.0%","-21.1%","2.7","933","0.1",""
"2001-05-19","2001-05-23","1,082","1,082","65.6%","0.8%","23.6%","24.4%","30.8%","28.3%","5.7%","34.0%","10.8%","100.0%","-9.6%","2.8","962","0.1",""
"2001-03-05","2001-03-19","1,024","1,024","57.0%","1.0%","22.6%","23.6%","29.5%","28.9%","5.4%","34.3%","12.6%","100.0%","-10.7%","2.8","885","0.1",""
"2001-01-17","2001-01-19","1,046","1,046","53.7%","1.2%","20.8%","22.0%","26.5%","31.6%","8.5%","40.1%","11.3%","100.0%","-18.1%","2.7","922","0.1",""
"2000-11-14","2000-11-16","1,038","1,038","47.2%","1.5%","22.0%","23.5%","25.3%","29.9%","10.8%","40.7%","10.4%","100.0%","-17.2%","2.7","925","0.1",""
"2000-09-14","2000-09-18","1,062","1,062","60.7%","0.8%","24.5%","25.3%","24.1%","31.8%","8.7%","40.5%","10.1%","100.0%","-15.2%","2.7","950","0.1",""
"2000-07-06","2000-07-11","1,058","1,058","53.3%","1.0%","23.2%","24.2%","22.3%","28.7%","11.3%","40.0%","13.4%","100.0%","-15.8%","2.7","905","0.1",""
"2000-06-02","2000-06-05","1,055","1,055","44.8%","1.1%","21.9%","23.0%","28.4%","27.2%","11.1%","38.3%","10.3%","100.0%","-15.3%","2.7","942","0.1",""
"2000-05-18","2000-05-22","1,040","1,040","51.2%","1.1%","20.5%","21.6%","27.2%","30.5%","10.3%","40.8%","10.4%","100.0%","-19.2%","2.7","927","0.1",""
"2000-04-03","2000-04-03","540","540","61.9%","0.4%","28.6%","29.0%","29.1%","29.1%","5.2%","34.3%","7.6%","100.0%","-5.3%","2.9","494","0.1",""
"2000-03-02","2000-03-03","520","520","62.1%","0.6%","26.7%","27.3%","29.8%","27.1%","4.7%","31.8%","11.2%","100.0%","-4.5%","2.9","460","0.1",""
"2000-02-01","2000-02-02","566","566","49.6%","0.9%","21.0%","21.9%","26.7%","31.7%","11.0%","42.7%","8.7%","100.0%","-20.8%","2.7","515","0.1",""
"2000-01-11","2000-01-12","519","519","53.6%","1.2%","23.3%","24.5%","27.3%","26.9%","10.4%","37.3%","11.0%","100.0%","-12.8%","2.8","458","0.1",""
"1999-12-06","1999-12-06","512","512","47.5%","2.2%","26.3%","28.5%","25.5%","30.4%","9.6%","40.0%","6.1%","100.0%","-11.5%","2.8","481","0.1",""
"1999-11-03","1999-11-11","538","538","50.4%","1.9%","23.3%","25.2%","27.6%","30.2%","6.5%","36.7%","10.4%","100.0%","-11.5%","2.8","480","0.1",""
"1999-10-11","1999-10-16","520","520","47.5%","1.0%","23.5%","24.5%","23.4%","31.0%","11.9%","42.9%","9.3%","100.0%","-18.4%","2.7","468","0.1",""
"1999-09-10","1999-09-13","576","576","45.2%","0.2%","29.9%","30.1%","23.7%","30.9%","5.3%","36.2%","10.1%","100.0%","-6.1%","2.9","517","0.1",""
"1999-08-02","1999-08-02","523","523","47.1%","1.0%","24.2%","25.2%","24.8%","31.8%","8.8%","40.6%","9.4%","100.0%","-15.4%","2.7","472","0.1",""
"1999-07-09","1999-07-09","536","536","51.3%","1.6%","16.3%","17.9%","28.7%","29.6%","10.2%","39.8%","13.6%","100.0%","-21.9%","2.6","462","0.1",""
"1999-06-01","1999-06-01","535","535","49.3%","0.6%","25.0%","25.6%","30.7%","30.8%","5.6%","36.4%","7.3%","100.0%","-10.8%","2.8","496","0.1",""
"1999-05-11","1999-05-11","506","506","46.7%","0.2%","20.6%","20.8%","32.6%","32.1%","4.0%","36.1%","10.5%","100.0%","-15.3%","2.8","452","0.1",""
"1999-04-07","1999-04-08","532","532","52.3%","0.2%","26.8%","27.0%","29.8%","29.9%","5.1%","35.0%","8.2%","100.0%","-8.0%","2.9","488","0.1",""
"1999-03-15","1999-03-15","534","534","50.0%","0.6%","20.5%","21.1%","25.3%","38.5%","6.5%","45.0%","8.7%","100.0%","-23.9%","2.9","470","0.1",""
"1999-03-09","1999-03-09","522","522","50.8%","0.7%","22.5%","23.2%","35.4%","28.6%","2.8%","31.4%","9.9%","100.0%","-8.2%","2.6","470","0.1",""
"1999-02-01","1999-02-01","529","529","53.0%","1.1%","23.7%","24.8%","29.0%","31.1%","5.0%","36.1%","10.1%","100.0%","-11.3%","2.8","471","0.1",""
"1999-01-14","1999-01-15","523","523","47.1%","0.0%","27.3%","27.3%","28.1%","29.6%","6.5%","36.1%","8.5%","100.0%","-8.8%","2.8","479","0.1",""
"1998-12-01","1998-12-02","519","519","44.1%","0.8%","25.4%","26.2%","28.9%","33.3%","5.2%","38.5%","6.4%","100.0%","-12.3%","2.8","483","0.1",""
"1998-11-10","1998-11-10","524","524","44.0%","0.6%","20.5%","21.1%","32.5%","30.4%","7.4%","37.8%","8.7%","100.0%","-16.7%","2.7","476","0.1",""
"1998-10-08","1998-10-09","521","521","40.3%","0.6%","28.7%","29.3%","29.1%","30.1%","5.4%","35.5%","6.1%","100.0%","-6.2%","2.9","487","0.1",""
"1998-09-08","1998-09-09","528","528","45.5%","0.2%","27.1%","27.3%","28.8%","30.9%","3.6%","34.5%","9.5%","100.0%","-7.2%","2.9","476","0.1",""
"1998-08-04","1998-08-04","514","514","38.8%","1.2%","28.4%","29.6%","29.7%","27.9%","6.1%","34.0%","6.8%","100.0%","-4.4%","2.9","479","0.1",""
"1998-07-14","1998-07-14","542","542","44.5%","1.1%","27.1%","28.2%","28.0%","27.1%","4.8%","31.9%","11.9%","100.0%","-3.7%","2.9","478","0.1",""
"1998-06-23","1998-06-23","518","518","47.4%","0.8%","29.4%","30.2%","31.8%","26.4%","2.5%","28.9%","9.2%","100.0%","1.3%","3.0","469","0.1",""
"1998-02-02","1998-02-03","512","512","50.4%","1.0%","20.5%","21.5%","24.6%","36.3%","5.1%","41.4%","12.5%","100.0%","-19.9%","2.7","448","0.1",""
"1998-01-12","1998-01-13","523","523","49.9%","1.0%","16.9%","17.9%","31.2%","36.6%","7.5%","44.1%","6.9%","100.0%","-26.2%","2.6","486","0.1",""
"1997-12-02","1997-12-03","519","519","44.7%","0.8%","24.7%","25.5%","23.3%","32.6%","6.0%","38.6%","12.7%","100.0%","-13.1%","2.8","453","0.1",""
"1997-11-11","1997-11-11","518","518","47.6%","0.8%","22.9%","23.7%","29.0%","33.0%","5.4%","38.4%","8.8%","100.0%","-14.7%","2.8","472","0.1",""
"1997-10-28","1997-10-29","536","536","44.5%","0.4%","22.5%","22.9%","29.1%","33.6%","5.1%","38.7%","9.4%","100.0%","-15.8%","2.8","483","0.1",""
"1997-09-23","1997-09-24","512","512","41.6%","0.6%","24.0%","24.6%","22.5%","33.9%","4.3%","38.2%","14.7%","100.0%","-13.6%","2.8","436","0.1",""
"1997-08-26","1997-08-27","532","532","42.4%","0.4%","21.7%","22.1%","22.3%","31.3%","5.4%","36.7%","18.9%","100.0%","-14.6%","2.8","430","0.1",""
"1997-07-29","1997-07-30","564","564","39.7%","0.4%","22.2%","22.6%","18.0%","29.7%","4.3%","34.0%","25.4%","100.0%","-11.4%","2.8","419","0.1",""
